Estilo;Uso;Nivel;id_moto
Urbano;Agilidade e Praticidade;Iniciante;1
Urbano;Agilidade e Praticidade;Iniciante;2
Urbano;Máxima Economia;Iniciante;3
Urbano;Conforto e Tecnologia;Iniciante;4
Urbano;Agilidade e Praticidade;Intermediário;5
Urbano;Agilidade e Praticidade;Intermediário;6
Urbano;Agilidade e Praticidade;Intermediário;7
Urbano;Conforto e Tecnologia;Intermediário;8
Urbano;Conforto e Tecnologia;Intermediário;9
Aventura;Versatilidade Total;Iniciante;10
Aventura;Versatilidade Total;Iniciante;11
Aventura;Versatilidade Total;Intermediário;12
Aventura;Versatilidade Total;Intermediário;13
Aventura;Versatilidade Total;Experiente;14
Urbano;Um Pouco Mais de Potência;Experiente;15
Urbano;Um Pouco Mais de Potência;Experiente;16
Aventura;Versatilidade Total;Intermediário;17
Off-Road;Qualquer Terreno;Experiente;18
Esportividade;Esportividade Urbana;Intermediário;19
Esportividade;Performance de Pista;Intermediário;20
Aventura;Foco em Viagens Longas;Experiente;21
Aventura;Foco em Viagens Longas;Experiente;22
Aventura;Foco em Viagens Longas;Experiente;23
Off-Road;Qualquer Terreno;Experiente;24
Off-Road;Força Bruta;Experiente;25
Esportividade;Performance de Pista;Experiente;26